dataset1	dataset2	size1	size2	block1	block2
A144	B144	1024	4096	8	32
A145	B145	2048	4096	16	32
A146	B146	4096	4096	32	32
A147	B147	4096	8192	32	64
A148	B148	4096	16384	32	128
A149	B149	4096	32768	32	256
A150	B150	4096	65536	32	512
A151	B151	128	8192	1	64
A152	B152	256	8192	2	64
A153	B153	512	8192	4	64
A154	B154	1024	8192	8	64
A155	B155	2048	8192	16	64
A156	B156	4096	8192	32	64
A157	B157	8192	8192	64	64
A158	B158	8192	16384	64	128
A159	B159	8192	32768	64	256
A160	B160	8192	65536	64	512
A161	B161	128	16384	1	128
A162	B162	256	16384	2	128
A163	B163	512	16384	4	128
A164	B164	1024	16384	8	128
A165	B165	2048	16384	16	128
A166	B166	4096	16384	32	128
A167	B167	8192	16384	64	128
A168	B168	16384	16384	128	128
A169	B169	16384	32768	128	256
A170	B170	16384	65536	128	512
A171	B171	128	32768	1	256
A172	B172	256	32768	2	256
A173	B173	512	32768	4	256
A174	B174	1024	32768	8	256
A175	B175	2048	32768	16	256
A176	B176	4096	32768	32	256
A177	B177	8192	32768	64	256
A178	B178	16384	32768	128	256
A179	B179	32768	32768	256	256
A180	B180	32768	65536	256	512
A181	B181	128	65536	1	512
A182	B182	256	65536	2	512
A183	B183	512	65536	4	512
A184	B184	1024	65536	8	512
A185	B185	2048	65536	16	512
A186	B186	4096	65536	32	512
A187	B187	8192	65536	64	512
A188	B188	16384	65536	128	512
A189	B189	32768	65536	256	512
A190	B190	65536	65536	512	512
A191	B191	128	4096	1	32
A192	B192	256	4096	2	32
A193	B193	512	4096	4	32
A194	B194	1024	4096	8	32
A195	B195	2048	4096	16	32
A196	B196	4096	4096	32	32
A197	B197	8192	4096	64	32
A198	B198	16384	4096	128	32
A199	B199	32768	4096	256	32
A200	B200	65536	4096	512	32
A201	B201	128	4096	1	32
A202	B202	256	4096	2	32
A203	B203	512	4096	4	32
A204	B204	1024	4096	8	32
A205	B205	2048	4096	16	32
A206	B206	4096	4096	32	32
A207	B207	8192	4096	64	32
A208	B208	16384	4096	128	32
A209	B209	32768	4096	256	32
A210	B210	65536	4096	512	32
A211	B211	128	4096	1	32
A212	B212	256	4096	2	32
A213	B213	512	4096	4	32
A214	B214	1024	4096	8	32
A215	B215	2048	4096	16	32
A216	B216	4096	4096	32	32
A217	B217	8192	4096	64	32
A218	B218	16384	4096	128	32
A219	B219	32768	4096	256	32
A220	B220	65536	4096	512	32
A221	B221	128	4096	1	32
A222	B222	256	4096	2	32
A223	B223	512	4096	4	32
A224	B224	1024	4096	8	32
A225	B225	2048	4096	16	32
A226	B226	4096	4096	32	32
A227	B227	8192	4096	64	32
A228	B228	16384	4096	128	32
A229	B229	32768	4096	256	32
A230	B230	65536	4096	512	32
A231	B231	128	4096	1	32
A232	B232	256	4096	2	32
A233	B233	512	4096	4	32
A234	B234	1024	4096	8	32
A235	B235	2048	4096	16	32
A236	B236	4096	4096	32	32
A237	B237	8192	4096	64	32
A238	B238	16384	4096	128	32
A239	B239	32768	4096	256	32
A240	B240	65536	4096	512	32
A241	B241	128	4096	1	32
A242	B242	256	4096	2	32
A243	B243	512	4096	4	32
A244	B244	1024	4096	8	32
A245	B245	2048	4096	16	32
A246	B246	4096	4096	32	32
A247	B247	8192	4096	64	32
A248	B248	16384	4096	128	32
A249	B249	32768	4096	256	32
A250	B250	65536	4096	512	32
A251	B251	128	4096	1	32
A252	B252	256	4096	2	32
A253	B253	512	4096	4	32
A254	B254	1024	4096	8	32
A255	B255	2048	4096	16	32
A256	B256	4096	4096	32	32
A257	B257	8192	4096	64	32
A258	B258	16384	4096	128	32
A259	B259	32768	4096	256	32
A260	B260	65536	4096	512	32
A261	B261	128	4096	1	32
A262	B262	256	4096	2	32
A263	B263	512	4096	4	32
A264	B264	1024	4096	8	32
A265	B265	2048	4096	16	32
A266	B266	4096	4096	32	32
A267	B267	8192	4096	64	32
A268	B268	16384	4096	128	32
A269	B269	32768	4096	256	32
A270	B270	65536	4096	512	32
A271	B271	128	4096	1	32
A272	B272	256	4096	2	32
A273	B273	512	4096	4	32
A274	B274	1024	4096	8	32
A275	B275	2048	4096	16	32
A276	B276	4096	4096	32	32
A277	B277	8192	4096	64	32
A278	B278	16384	4096	128	32
A279	B279	32768	4096	256	32
A280	B280	65536	4096	512	32
A281	B281	128	4096	1	32
A282	B282	256	4096	2	32
A283	B283	512	4096	4	32
A284	B284	1024	4096	8	32
A285	B285	2048	4096	16	32
A286	B286	4096	4096	32	32
A287	B287	8192	4096	64	32
A288	B288	16384	4096	128	32
A289	B289	32768	4096	256	32
A290	B290	65536	4096	512	32
A291	B291	128	8192	1	64
A292	B292	256	8192	2	64
A293	B293	512	8192	4	64
A294	B294	1024	8192	8	64
A295	B295	2048	8192	16	64
A296	B296	4096	8192	32	64
A297	B297	8192	8192	64	64
A298	B298	16384	8192	128	64
A299	B299	32768	8192	256	64
A300	B300	65536	8192	512	64
