dataset1,dataset2,y_test,y_pred
large_aws/Combo_005.csv,medium/parcel_004.csv,4,1
large_aws/Combo_004.csv,medium/uniform_009.csv,1,1
A40,B40,4,4
A250,B250,3,3
real/OSM2015_roads_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,3,3
large_aws/Combo_006.csv,medium/diagonal_007.csv,1,1
large_aws/Combo_006.csv,medium/bit_006.csv,1,1
A67,B67,2,2
real/TIGER2018_EDGES_data_big_28.csv,real/TIGER2018_FACES_data_big_40.csv,3,3
A68,B68,2,4
large_aws/Combo_004.csv,medium/parcel_002.csv,1,1
large_aws/Combo_003.csv,medium/diagonal_004.csv,1,1
real/TIGER2018_EDGES_data_big_17.csv,real/TIGER2018_FACES_data_big_20.csv,2,3
A126,B126,2,2
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_19.csv,3,3
real/OSM2015_lakes_data_big_14.csv,real/OSM2015_roads_data_big_17.csv,3,3
large_aws/Combo_004.csv,medium/diagonal_003.csv,4,2
large_aws/Combo_004.csv,medium/bit_003.csv,2,2
real/OSM2015_lakes_data_big_14.csv,real/OSM2015_buildings_data_big_22.csv,3,3
real/OSM2015_buildings_data_big_15_15.csv,real/OSM2015_lakes_data_big_10.csv,3,2
large_aws/Combo_005.csv,medium/diagonal_009.csv,1,1
real/TIGER2018_EDGES_data_big_03.csv,real/TIGER2018_FACES_data_big_03.csv,3,3
real/OSM2015_buildings_data_big_15_09.csv,real/OSM2015_parks_data_big_07.csv,3,3
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_15.csv,3,3
A119,B119,4,4
A107,B107,4,2
A64,B64,2,2
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_35.csv,3,3
real/OSM2015_parks_data_big_03.csv,real/TIGER2018_FACES_data_big_20.csv,3,3
A158,B158,2,2
real/TIGER2018_EDGES_data_big_09.csv,real/TIGER2018_FACES_data_big_17.csv,3,3
real/OSM2015_roads_data_big_02.csv,real/TIGER2017_LINEARWATER_data_big_18.csv,2,2
real/OSM2015_buildings_data_big_03.csv,real/TIGER2018_FACES_data_big_25.csv,3,3
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_15.csv,2,2
real/OSM2015_buildings_data_big_02.csv,real/TIGER2018_EDGES_data_big_22.csv,3,3
A128,B128,4,4
real/OSM2015_lakes_data_big_14.csv,real/OSM2015_parks_data_big_18.csv,1,3
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_09.csv,3,3
large_aws/Combo_003.csv,medium/bit_001.csv,1,1
large_aws/Combo_004.csv,medium/gaussian_008.csv,1,1
real/OSM2015_roads_data_big_11.csv,real/OSM2015_buildings_data_big_14.csv,3,3
A155,B155,2,2
large_aws/Combo_005.csv,medium/diagonal_005.csv,1,1
large_aws/Combo_001.csv,medium/parcel_003.csv,1,1
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_17.csv,3,2
A177,B177,2,2
large_aws/Combo_007.csv,medium/diagonal_010.csv,2,1
large_aws/Combo_005.csv,medium/diagonal_007.csv,4,1
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_14.csv,2,3
real/OSM2015_lakes_data_big_10.csv,real/OSM2015_roads_data_big_12.csv,3,2
A273,B273,2,2
large_aws/Combo_005.csv,medium/parcel_002.csv,1,1
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_FACES_data_big_18.csv,3,3
A203,B203,2,2
real/TIGER2018_EDGES_data_big_35.csv,real/TIGER2018_FACES_data_big_41.csv,2,2
real/OSM2015_lakes_data_big_05.csv,real/TIGER2018_EDGES_data_big_20.csv,2,3
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_26.csv,3,3
A228,B228,2,2
A187,B187,4,4
real/TIGER2018_EDGES_data_big_05.csv,real/TIGER2018_FACES_data_big_12.csv,3,3
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_33.csv,3,3
real/OSM2015_lakes_data_big_13.csv,real/OSM2015_roads_data_big_21.csv,3,3
large_aws/Combo_005.csv,medium/bit_002.csv,1,1
A56,B56,2,2
A139,B139,4,4
real/OSM2015_lakes_data_big_07.csv,real/OSM2015_roads_data_big_03.csv,3,3
A26,B26,2,2
A91,B91,2,2
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_EDGES_data_big_11.csv,2,3
A45,B45,2,2
large_aws/Combo_003.csv,medium/uniform_005.csv,1,1
A217,B217,2,2
real/OSM2015_parks_data_big_02.csv,real/TIGER2018_EDGES_data_big_20.csv,3,3
real/OSM2015_parks_data_big_13.csv,real/OSM2015_buildings_data_big_21.csv,3,3
large_aws/Combo_002.csv,medium/bit_004.csv,1,1
A227,B227,2,2
large_aws/Combo_004.csv,medium/parcel_005.csv,4,1
large_aws/Combo_002.csv,medium/parcel_003.csv,1,1
large_aws/Combo_006.csv,medium/gaussian_005.csv,1,1
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_EDGES_data_big_10.csv,3,3
real/OSM2015_buildings_data_big_03.csv,real/TIGER2017_LINEARWATER_data_big_23.csv,3,3
real/TIGER2018_EDGES_data_big_11.csv,real/TIGER2018_FACES_data_big_19.csv,3,3
real/OSM2015_roads_data_big_02.csv,real/TIGER2018_FACES_data_big_31.csv,3,3
real/OSM2015_lakes_data_big_10.csv,real/OSM2015_parks_data_big_08.csv,3,3
large_aws/Combo_003.csv,medium/diagonal_008.csv,1,1
A229,B229,2,2
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_25.csv,3,2
A61,B61,4,2
large_aws/Combo_003.csv,medium/uniform_007.csv,2,1
large_aws/Combo_003.csv,medium/parcel_005.csv,2,1
real/OSM2015_lakes_data_big_11.csv,real/OSM2015_buildings_data_big_22.csv,3,3
real/OSM2015_buildings_data_big_02.csv,real/OSM2015_lakes_data_big_06.csv,3,3
large_aws/Combo_004.csv,medium/parcel_008.csv,1,1
A279,B279,3,3
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_11.csv,2,2
large_aws/Combo_002.csv,medium/gaussian_010.csv,1,1
large_aws/Combo_002.csv,medium/diagonal_006.csv,1,1
large_aws/Combo_007.csv,medium/diagonal_006.csv,1,1
large_aws/Combo_004.csv,medium/diagonal_002.csv,1,1
large_aws/Combo_003.csv,medium/parcel_009.csv,1,1
real/OSM2015_lakes_data_big_05.csv,real/OSM2015_roads_data_big_02.csv,3,3
large_aws/Combo_002.csv,medium/uniform_009.csv,1,1
real/OSM2015_lakes_data_big_11.csv,real/OSM2015_parks_data_big_13.csv,3,3
A129,B129,4,4
large_aws/Combo_004.csv,medium/parcel_004.csv,4,1
large_aws/Combo_006.csv,medium/parcel_007.csv,1,1
large_aws/Combo_001.csv,medium/gaussian_002.csv,1,1
real/TIGER2018_EDGES_data_big_17.csv,real/TIGER2018_FACES_data_big_26.csv,3,3
real/OSM2015_parks_data_big_03.csv,real/TIGER2018_FACES_data_big_41.csv,2,3
A294,B294,2,2
real/TIGER2018_EDGES_data_big_15.csv,real/TIGER2018_FACES_data_big_25.csv,3,3
large_aws/Combo_005.csv,medium/uniform_003.csv,1,1
large_aws/Combo_004.csv,medium/bit_002.csv,4,1
real/OSM2015_lakes_data_big_06.csv,real/TIGER2018_FACES_data_big_33.csv,3,3
large_aws/Combo_002.csv,medium/parcel_010.csv,2,1
large_aws/Combo_006.csv,medium/diagonal_002.csv,4,1
real/TIGER2018_EDGES_data_big_09.csv,real/TIGER2018_FACES_data_big_11.csv,2,2
