,,,Non-indexed,,,Indexed,,
small_datasets/diagonal_001.csv,small_datasets/gaussian_004.csv,10266,1406943,0.981382018,10266,1412369,0.686188352,-0.003856588362144
small_datasets/diagonal_001.csv,small_datasets/gaussian_005.csv,12412,1269624,0.709075522,12412,1278178,0.707774761,-0.006737427773892
small_datasets/gaussian_006.csv,small_datasets/diagonal_001.csv,17890,1825100,0.860497314,17890,1840215,0.635428982,-0.00828173798696
small_datasets/diagonal_001.csv,small_datasets/gaussian_007.csv,11210,1372349,0.915407728,11210,1381071,0.586671301,-0.006355526181751
small_datasets/gaussian_008.csv,small_datasets/diagonal_001.csv,22368,2355456,1.101337267,22368,2372150,0.667915756,-0.007087375013586
small_datasets/gaussian_009.csv,small_datasets/diagonal_001.csv,17053,1832571,1.014893053,17053,1845397,0.660718953,-0.006998910274145
small_datasets/gaussian_010.csv,small_datasets/diagonal_001.csv,18944,2520167,0.852989666,18944,2536991,0.727829572,-0.006675748075425
small_datasets/diagonal_001.csv,small_datasets/gaussian_011.csv,13678,1673809,5.147366298,13678,1686781,0.632938971,-0.007749988200565
small_datasets/gaussian_012.csv,small_datasets/diagonal_001.csv,18716,2117535,0.801046548,18716,2127224,0.741864361,-0.004575603236782
small_datasets/diagonal_001.csv,small_datasets/gaussian_013.csv,9504,1218544,0.83213857,9504,1225042,0.509575021,-0.005332593652753
small_datasets/diagonal_001.csv,small_datasets/gaussian_014.csv,12688,1313855,0.829156556,12688,1321623,0.573142517,-0.005912372369858
small_datasets/gaussian_015.csv,small_datasets/diagonal_001.csv,21296,2257735,0.766345695,21296,2274007,0.81331615,-0.007207223168352
small_datasets/diagonal_001.csv,small_datasets/gaussian_016.csv,9771,1135529,0.583378549,9771,1141531,0.630683049,-0.005285642198482
small_datasets/diagonal_001.csv,small_datasets/gaussian_017.csv,6874,801479,0.592607177,6874,806922,0.693632378,-0.006791194778653
small_datasets/diagonal_001.csv,small_datasets/gaussian_018.csv,14282,1616939,0.721455593,14282,1625280,0.654635695,-0.00515851247326
small_datasets/diagonal_001.csv,small_datasets/gaussian_019.csv,12885,1408086,0.76897861,12885,1417762,0.654113844,-0.006871739368192
small_datasets/diagonal_001.csv,small_datasets/gaussian_020.csv,9889,1304748,0.733563189,9889,1314196,0.558726501,-0.007241245052684
small_datasets/gaussian_021.csv,small_datasets/diagonal_001.csv,14624,1802413,0.971766655,14624,1815175,0.68530283,-0.007080508185416
small_datasets/diagonal_001.csv,small_datasets/gaussian_022.csv,13469,1533706,0.691493945,13469,1543286,0.686095449,-0.006246307962543
small_datasets/diagonal_001.csv,small_datasets/gaussian_023.csv,15798,1782313,0.703820429,15798,1796878,0.695939088,-0.008171965305757
small_datasets/diagonal_001.csv,small_datasets/gaussian_024.csv,8591,1116403,0.795830654,8591,1122837,0.676306611,-0.005763151836747
small_datasets/diagonal_001.csv,small_datasets/gaussian_025.csv,18368,1911912,0.763596871,18368,1927398,0.731754275,-0.008099745176556
small_datasets/diagonal_001.csv,small_datasets/gaussian_026.csv,9812,1254831,0.838336121,9812,1264108,0.708082192,-0.007393027427598
small_datasets/diagonal_001.csv,small_datasets/gaussian_027.csv,12243,1645135,0.948859569,12243,1653616,0.718389748,-0.005155200029177
small_datasets/gaussian_028.csv,small_datasets/diagonal_001.csv,21408,2533297,0.753597628,21408,2549284,0.771290009,-0.006310748404155
small_datasets/diagonal_001.csv,small_datasets/gaussian_029.csv,7564,832540,0.646910056,7564,834867,0.650344152,-0.002795060897975
small_datasets/diagonal_001.csv,small_datasets/gaussian_030.csv,11863,1266602,0.863462821,11863,1276714,0.589243928,-0.007983565476764
small_datasets/diagonal_001.csv,small_datasets/gaussian_031.csv,13077,1359142,0.675362429,13077,1368960,0.591968367,-0.007223674936099
small_datasets/diagonal_001.csv,small_datasets/gaussian_032.csv,17489,2016135,0.844428479,17489,2029305,0.698160721,-0.00653230066439
small_datasets/diagonal_001.csv,small_datasets/gaussian_033.csv,7715,1069198,0.748992652,7715,1074023,0.595750605,-0.004512728231815
small_datasets/diagonal_001.csv,small_datasets/gaussian_034.csv,8865,971719,0.673036035,8865,978104,0.539541821,-0.006570829632847
small_datasets/diagonal_001.csv,small_datasets/gaussian_035.csv,5799,781681,0.60877131,5799,786739,0.563100914,-0.006470670260631
small_datasets/diagonal_001.csv,small_datasets/gaussian_036.csv,9219,1195980,0.625193337,9219,1203215,0.587194764,-0.006049432264754
small_datasets/diagonal_001.csv,small_datasets/gaussian_037.csv,10057,1063346,0.64418747,10057,1072154,0.566866842,-0.008283286907554
small_datasets/gaussian_038.csv,small_datasets/diagonal_001.csv,19684,2444432,0.96128057,19684,2457199,0.746355854,-0.005222890225623
small_datasets/diagonal_001.csv,small_datasets/gaussian_039.csv,8294,862936,0.667493841,8294,868532,0.563766823,-0.006484837809525
small_datasets/diagonal_001.csv,small_datasets/gaussian_040.csv,16889,1725434,0.831751251,16889,1736023,0.724606335,-0.006137006689332
small_datasets/diagonal_001.csv,small_datasets/uniform_001.csv,5814,1793457,0.722427553,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_002.csv,3223,883181,0.621287028,,,,
small_datasets/uniform_003.csv,small_datasets/diagonal_001.csv,7304,1814385,0.814142184,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_004.csv,6727,2011141,0.791384939,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_005.csv,3644,1251764,0.62204233,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_006.csv,4046,1023926,0.664564618,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_007.csv,2929,978453,0.719502135,,,,
small_datasets/uniform_008.csv,small_datasets/diagonal_001.csv,5793,1797731,0.757678418,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_009.csv,5571,1814061,0.734831134,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_010.csv,2830,875252,0.706953309,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_011.csv,6458,1864764,0.717885523,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_012.csv,2734,738989,0.613088663,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_013.csv,3385,1065262,0.709026633,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_014.csv,4882,1611563,0.716493467,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_015.csv,3697,918121,0.66924226,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_016.csv,3475,1123207,0.799961277,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_017.csv,4596,1328371,0.70246698,,,,
small_datasets/uniform_018.csv,small_datasets/diagonal_001.csv,7869,2406558,0.838047728,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_019.csv,3425,1049993,0.584047596,,,,
small_datasets/uniform_020.csv,small_datasets/diagonal_001.csv,6247,1622933,0.863199305,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_021.csv,6746,1842642,0.653901908,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_022.csv,3181,987562,0.591750641,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_023.csv,3068,813771,0.555079947,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_024.csv,3879,1266912,0.633798948,,,,
small_datasets/uniform_025.csv,small_datasets/diagonal_001.csv,8072,2019680,0.647672676,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_026.csv,4838,1589792,0.672560933,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_027.csv,4216,1389064,0.649047769,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_028.csv,3290,907009,0.714011173,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_029.csv,3393,995680,0.540490245,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_030.csv,5261,1749125,0.609188836,,,,
small_datasets/uniform_031.csv,small_datasets/diagonal_001.csv,6220,1616575,0.805187576,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_032.csv,5650,1522016,0.780211984,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_033.csv,3953,1209028,0.63601452,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_034.csv,5043,1633967,0.735171361,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_035.csv,2619,746871,0.702485702,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_036.csv,4148,1177839,0.571024493,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_037.csv,3204,926451,0.619973691,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_038.csv,5185,1225699,0.646292252,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_039.csv,7752,1887723,0.730339433,,,,
small_datasets/diagonal_001.csv,small_datasets/uniform_040.csv,5502,1562113,0.701087151,,,,
small_datasets/diagonal_003.csv,small_datasets/diagonal_002.csv,49789,654850,0.530091406,,,,
small_datasets/diagonal_004.csv,small_datasets/diagonal_002.csv,90166,1009167,0.684913689,,,,
small_datasets/diagonal_005.csv,small_datasets/diagonal_002.csv,19001,435908,0.4991175,,,,
small_datasets/diagonal_006.csv,small_datasets/diagonal_002.csv,60308,699823,0.593262,,,,
small_datasets/diagonal_007.csv,small_datasets/diagonal_002.csv,68454,867728,0.702748571,,,,
small_datasets/diagonal_008.csv,small_datasets/diagonal_002.csv,115174,1063809,1.226793923,,,,
small_datasets/diagonal_002.csv,small_datasets/diagonal_009.csv,23686,301070,0.450539696,,,,
small_datasets/diagonal_010.csv,small_datasets/diagonal_002.csv,74491,748615,0.617885898,,,,
small_datasets/diagonal_011.csv,small_datasets/diagonal_002.csv,67235,1034279,0.678063254,,,,
small_datasets/diagonal_012.csv,small_datasets/diagonal_002.csv,63396,902395,0.636212225,,,,
small_datasets/diagonal_013.csv,small_datasets/diagonal_002.csv,64873,625648,0.472291594,,,,
small_datasets/diagonal_014.csv,small_datasets/diagonal_002.csv,52023,653188,0.633709085,,,,
small_datasets/diagonal_015.csv,small_datasets/diagonal_002.csv,36522,732243,0.639998191,,,,
small_datasets/diagonal_016.csv,small_datasets/diagonal_002.csv,43271,440897,0.532294329,,,,
small_datasets/diagonal_017.csv,small_datasets/diagonal_002.csv,90094,1153260,0.63809634,,,,
small_datasets/diagonal_002.csv,small_datasets/diagonal_018.csv,19718,409884,0.464994754,,,,
small_datasets/diagonal_019.csv,small_datasets/diagonal_002.csv,62873,667801,0.625817786,,,,
small_datasets/diagonal_020.csv,small_datasets/diagonal_002.csv,38173,779010,0.607413055,,,,
small_datasets/diagonal_021.csv,small_datasets/diagonal_002.csv,90042,912806,0.653653938,,,,
small_datasets/diagonal_022.csv,small_datasets/diagonal_002.csv,36347,628174,0.544549418,,,,
small_datasets/diagonal_023.csv,small_datasets/diagonal_002.csv,71721,876809,0.71496395,,,,
small_datasets/diagonal_024.csv,small_datasets/diagonal_002.csv,30805,705838,0.569928115,,,,
small_datasets/diagonal_025.csv,small_datasets/diagonal_002.csv,53056,593725,0.504934513,,,,
small_datasets/diagonal_002.csv,small_datasets/diagonal_026.csv,37042,469229,0.465612463,,,,
small_datasets/diagonal_027.csv,small_datasets/diagonal_002.csv,58643,855525,0.592762838,,,,
small_datasets/diagonal_028.csv,small_datasets/diagonal_002.csv,47131,846695,0.722700593,,,,
small_datasets/diagonal_029.csv,small_datasets/diagonal_002.csv,81484,839246,0.761378197,,,,
small_datasets/diagonal_030.csv,small_datasets/diagonal_002.csv,62173,712182,0.556717614,,,,
small_datasets/diagonal_002.csv,small_datasets/diagonal_031.csv,24505,375678,0.430964639,,,,
small_datasets/diagonal_032.csv,small_datasets/diagonal_002.csv,43428,958013,0.61753528,,,,
small_datasets/diagonal_033.csv,small_datasets/diagonal_002.csv,49567,846281,0.756341197,,,,
small_datasets/diagonal_034.csv,small_datasets/diagonal_002.csv,62644,623681,0.544933288,,,,
small_datasets/diagonal_035.csv,small_datasets/diagonal_002.csv,69362,770779,0.592483951,,,,
small_datasets/diagonal_036.csv,small_datasets/diagonal_002.csv,70964,1205720,0.760693958,,,,
small_datasets/diagonal_002.csv,small_datasets/diagonal_037.csv,13874,332613,0.426046532,,,,
small_datasets/diagonal_038.csv,small_datasets/diagonal_002.csv,97816,915178,0.665310702,,,,
small_datasets/diagonal_039.csv,small_datasets/diagonal_002.csv,45403,849351,0.64164629,,,,
small_datasets/diagonal_040.csv,small_datasets/diagonal_002.csv,57852,817320,0.51258407,,,,
small_datasets/gaussian_001.csv,small_datasets/diagonal_002.csv,6885,850792,0.672006173,,,,
small_datasets/gaussian_002.csv,small_datasets/diagonal_002.csv,6545,765500,0.675212666,,,,
small_datasets/gaussian_003.csv,small_datasets/diagonal_002.csv,6839,962544,0.721038104,,,,
small_datasets/gaussian_004.csv,small_datasets/diagonal_002.csv,4094,636961,0.441772131,,,,
small_datasets/gaussian_005.csv,small_datasets/diagonal_002.csv,5413,574718,0.491112903,,,,
small_datasets/gaussian_006.csv,small_datasets/diagonal_002.csv,7691,811454,0.599297299,,,,
small_datasets/gaussian_007.csv,small_datasets/diagonal_002.csv,4556,612898,0.538863981,,,,
small_datasets/gaussian_008.csv,small_datasets/diagonal_002.csv,9738,1065103,0.656357451,,,,
small_datasets/gaussian_009.csv,small_datasets/diagonal_002.csv,7294,814035,0.594500013,,,,
small_datasets/gaussian_010.csv,small_datasets/diagonal_002.csv,7791,1147503,0.673551108,,,,
small_datasets/gaussian_011.csv,small_datasets/diagonal_002.csv,5620,758728,0.476172088,,,,
small_datasets/gaussian_012.csv,small_datasets/diagonal_002.csv,8030,963674,0.564126372,,,,
small_datasets/gaussian_013.csv,small_datasets/diagonal_002.csv,3909,555233,0.493934702,,,,
small_datasets/gaussian_014.csv,small_datasets/diagonal_002.csv,5458,590575,0.501391765,,,,
small_datasets/gaussian_015.csv,small_datasets/diagonal_002.csv,9183,1033404,0.665849925,,,,
small_datasets/gaussian_016.csv,small_datasets/diagonal_002.csv,4193,518497,0.501147318,,,,
small_datasets/diagonal_002.csv,small_datasets/gaussian_017.csv,2812,355710,0.496543262,,,,
small_datasets/gaussian_018.csv,small_datasets/diagonal_002.csv,5994,731267,0.565378283,,,,
small_datasets/gaussian_019.csv,small_datasets/diagonal_002.csv,5574,637634,0.530853018,,,,
small_datasets/gaussian_020.csv,small_datasets/diagonal_002.csv,4248,594406,0.482602021,,,,
small_datasets/gaussian_021.csv,small_datasets/diagonal_002.csv,6016,801693,0.604445054,,,,
small_datasets/gaussian_022.csv,small_datasets/diagonal_002.csv,5861,694699,0.551762524,,,,
small_datasets/gaussian_023.csv,small_datasets/diagonal_002.csv,6538,807091,0.504823528,,,,
small_datasets/gaussian_024.csv,small_datasets/diagonal_002.csv,3433,491057,0.581597192,,,,
small_datasets/gaussian_025.csv,small_datasets/diagonal_002.csv,7904,874982,0.621756168,,,,
small_datasets/gaussian_026.csv,small_datasets/diagonal_002.csv,4039,565385,0.466283767,,,,
small_datasets/gaussian_027.csv,small_datasets/diagonal_002.csv,4885,738211,0.620355573,,,,
small_datasets/gaussian_028.csv,small_datasets/diagonal_002.csv,9080,1159194,0.797630908,,,,
small_datasets/diagonal_002.csv,small_datasets/gaussian_029.csv,3238,377382,0.408020565,,,,
small_datasets/gaussian_030.csv,small_datasets/diagonal_002.csv,5268,578427,0.460525123,,,,
small_datasets/gaussian_031.csv,small_datasets/diagonal_002.csv,5732,623048,0.49201455,,,,
small_datasets/gaussian_032.csv,small_datasets/diagonal_002.csv,7448,923643,0.565337378,,,,
small_datasets/gaussian_033.csv,small_datasets/diagonal_002.csv,3046,480823,0.564517043,,,,
small_datasets/diagonal_002.csv,small_datasets/gaussian_034.csv,3959,442681,0.475395955,,,,
small_datasets/diagonal_002.csv,small_datasets/gaussian_035.csv,2364,345997,0.461184151,,,,
small_datasets/gaussian_036.csv,small_datasets/diagonal_002.csv,3749,545066,0.458629942,,,,
small_datasets/gaussian_037.csv,small_datasets/diagonal_002.csv,4252,474725,0.491333566,,,,
small_datasets/gaussian_038.csv,small_datasets/diagonal_002.csv,8065,1114257,0.661217826,,,,
small_datasets/diagonal_002.csv,small_datasets/gaussian_039.csv,3482,386459,0.48615525,,,,
small_datasets/gaussian_040.csv,small_datasets/diagonal_002.csv,7303,771839,0.643387461,,,,
small_datasets/uniform_001.csv,small_datasets/diagonal_002.csv,2397,854427,0.648214855,,,,
small_datasets/uniform_002.csv,small_datasets/diagonal_002.csv,1341,411875,0.498056734,,,,
small_datasets/uniform_003.csv,small_datasets/diagonal_002.csv,2941,846408,0.838862034,,,,
small_datasets/uniform_004.csv,small_datasets/diagonal_002.csv,2788,960893,0.594680321,,,,
small_datasets/uniform_005.csv,small_datasets/diagonal_002.csv,1496,591182,0.511211506,,,,
small_datasets/uniform_006.csv,small_datasets/diagonal_002.csv,1697,484802,0.460281369,,,,
small_datasets/uniform_007.csv,small_datasets/diagonal_002.csv,1069,458921,0.499049868,,,,
small_datasets/uniform_008.csv,small_datasets/diagonal_002.csv,2319,841541,0.655955671,,,,
small_datasets/uniform_009.csv,small_datasets/diagonal_002.csv,2191,858913,0.550446291,,,,
small_datasets/uniform_010.csv,small_datasets/diagonal_002.csv,1183,403806,0.448170059,,,,
small_datasets/uniform_011.csv,small_datasets/diagonal_002.csv,2639,891665,0.615316134,,,,
small_datasets/diagonal_002.csv,small_datasets/uniform_012.csv,1128,346371,0.407549918,,,,
small_datasets/uniform_013.csv,small_datasets/diagonal_002.csv,1342,492736,0.509745773,,,,
small_datasets/uniform_014.csv,small_datasets/diagonal_002.csv,1894,762470,0.570339176,,,,
small_datasets/uniform_015.csv,small_datasets/diagonal_002.csv,1497,422943,0.487251664,,,,
small_datasets/uniform_016.csv,small_datasets/diagonal_002.csv,1357,533321,0.495935145,,,,
small_datasets/uniform_017.csv,small_datasets/diagonal_002.csv,1691,612007,0.548507535,,,,
small_datasets/uniform_018.csv,small_datasets/diagonal_002.csv,3200,1144521,0.600956966,,,,
small_datasets/uniform_019.csv,small_datasets/diagonal_002.csv,1388,501977,0.401658399,,,,
small_datasets/uniform_020.csv,small_datasets/diagonal_002.csv,2509,750831,0.651733978,,,,
small_datasets/uniform_021.csv,small_datasets/diagonal_002.csv,2706,879251,0.580630451,,,,
small_datasets/uniform_022.csv,small_datasets/diagonal_002.csv,1263,459856,0.499201522,,,,
small_datasets/diagonal_002.csv,small_datasets/uniform_023.csv,1275,383064,0.451894784,,,,
small_datasets/uniform_024.csv,small_datasets/diagonal_002.csv,1580,605547,0.426968426,,,,
small_datasets/uniform_025.csv,small_datasets/diagonal_002.csv,3293,960349,0.613395608,,,,
small_datasets/uniform_026.csv,small_datasets/diagonal_002.csv,1864,755491,0.533762687,,,,
small_datasets/uniform_027.csv,small_datasets/diagonal_002.csv,1594,662104,1.008067208,,,,
small_datasets/uniform_028.csv,small_datasets/diagonal_002.csv,1255,418625,0.52957945,,,,
small_datasets/diagonal_002.csv,small_datasets/uniform_029.csv,1343,476244,0.442909531,,,,
small_datasets/uniform_030.csv,small_datasets/diagonal_002.csv,2109,822846,0.565457517,,,,
small_datasets/uniform_031.csv,small_datasets/diagonal_002.csv,2611,750855,0.71499711,,,,
small_datasets/uniform_032.csv,small_datasets/diagonal_002.csv,2364,718377,0.600831302,,,,
small_datasets/uniform_033.csv,small_datasets/diagonal_002.csv,1602,566630,0.485204728,,,,
small_datasets/uniform_034.csv,small_datasets/diagonal_002.csv,2092,775986,0.515937006,,,,
small_datasets/diagonal_002.csv,small_datasets/uniform_035.csv,1004,343153,0.41964399,,,,
small_datasets/uniform_036.csv,small_datasets/diagonal_002.csv,1617,560850,0.449345532,,,,
small_datasets/uniform_037.csv,small_datasets/diagonal_002.csv,1336,432490,0.434070945,,,,
small_datasets/uniform_038.csv,small_datasets/diagonal_002.csv,2204,586102,0.521724918,,,,
small_datasets/uniform_039.csv,small_datasets/diagonal_002.csv,3178,899635,0.767440996,,,,
small_datasets/uniform_040.csv,small_datasets/diagonal_002.csv,2319,745091,0.534169119,,,,
small_datasets/diagonal_004.csv,small_datasets/diagonal_003.csv,118383,1681916,0.736321967,,,,
small_datasets/diagonal_003.csv,small_datasets/diagonal_005.csv,24914,737498,0.556607745,,,,
small_datasets/diagonal_006.csv,small_datasets/diagonal_003.csv,79919,1159229,0.624654533,,,,
small_datasets/diagonal_007.csv,small_datasets/diagonal_003.csv,89797,1483979,0.656044167,,,,
small_datasets/diagonal_008.csv,small_datasets/diagonal_003.csv,150193,1754365,0.651026077,,,,
small_datasets/diagonal_003.csv,small_datasets/diagonal_009.csv,30972,517295,0.454348739,,,,
small_datasets/diagonal_010.csv,small_datasets/diagonal_003.csv,97878,1286802,0.773716874,,,,
small_datasets/diagonal_011.csv,small_datasets/diagonal_003.csv,89135,1711534,0.781379951,,,,
small_datasets/diagonal_012.csv,small_datasets/diagonal_003.csv,81701,1500245,0.642929371,,,,
small_datasets/diagonal_003.csv,small_datasets/diagonal_013.csv,83740,1041484,0.604589324,,,,
small_datasets/diagonal_014.csv,small_datasets/diagonal_003.csv,67992,1086071,0.690476274,,,,
small_datasets/diagonal_003.csv,small_datasets/diagonal_015.csv,47756,1199940,0.606636951,,,,
small_datasets/diagonal_003.csv,small_datasets/diagonal_016.csv,57472,745647,0.543792835,,,,
small_datasets/diagonal_017.csv,small_datasets/diagonal_003.csv,117731,1888460,0.626394325,,,,
small_datasets/diagonal_003.csv,small_datasets/diagonal_018.csv,24066,679533,0.515451309,,,,
small_datasets/diagonal_019.csv,small_datasets/diagonal_003.csv,82625,1147398,0.766743601,,,,
small_datasets/diagonal_020.csv,small_datasets/diagonal_003.csv,50051,1309357,0.599031791,,,,
small_datasets/diagonal_021.csv,small_datasets/diagonal_003.csv,116345,1547831,0.711178071,,,,
small_datasets/diagonal_022.csv,small_datasets/diagonal_003.csv,48194,1059196,0.520403236,,,,
small_datasets/diagonal_023.csv,small_datasets/diagonal_003.csv,91510,1448708,0.676782507,,,,
small_datasets/diagonal_024.csv,small_datasets/diagonal_003.csv,40334,1195387,0.587494275,,,,
small_datasets/diagonal_003.csv,small_datasets/diagonal_025.csv,69006,985716,0.585164526,,,,
